                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.97949,                 1.5312,                 1.1327,                0.44471,                0.63185,                0.58961,                0.45903,                0.84923,                 1.3927,                 1.0479,              6.931e-05,              6.931e-05,              6.931e-05
                     95,                0.98126,                 1.5746,                 1.1131,                0.47056,                0.57598,                0.58837,                0.46023,                0.82537,                 1.3741,                 1.0419,              6.898e-05,              6.898e-05,              6.898e-05
                     96,                0.97529,                 1.5006,                 1.1167,                0.48984,                0.57784,                0.59005,                0.47007,                0.78405,                 1.3607,                 1.0299,              6.865e-05,              6.865e-05,              6.865e-05
                     97,                0.96018,                 1.4881,                 1.1129,                0.48202,                0.55459,                0.59198,                0.47657,                0.74919,                 1.3561,                 1.0209,              6.832e-05,              6.832e-05,              6.832e-05
                     98,                0.97006,                 1.5358,                 1.1075,                0.49599,                 0.5324,                0.59224,                0.47827,                0.75248,                 1.3526,                  1.017,              6.799e-05,              6.799e-05,              6.799e-05
                     99,                0.97784,                  1.554,                 1.1037,                0.53614,                0.57094,                0.58581,                0.45626,                0.85898,                 1.3803,                 1.0446,              6.766e-05,              6.766e-05,              6.766e-05
                    100,                 1.0386,                 1.5678,                 1.1583,                0.54321,                0.56344,                 0.5904,                0.47402,                0.75906,                 1.3507,                 1.0121,              6.733e-05,              6.733e-05,              6.733e-05
                    101,                0.97372,                 1.5403,                 1.1092,                 0.5215,                0.55597,                0.60412,                0.48304,                0.71923,                 1.3172,                 1.0064,                6.7e-05,                6.7e-05,                6.7e-05
                    102,                0.95912,                 1.4805,                 1.1096,                0.55174,                0.62028,                0.61643,                0.49419,                0.73028,                 1.3005,                 1.0104,              6.667e-05,              6.667e-05,              6.667e-05
                    103,                0.95208,                 1.4458,                 1.1103,                0.57492,                0.57329,                0.62831,                 0.4855,                0.85051,                 1.3109,                  1.046,              6.634e-05,              6.634e-05,              6.634e-05
                    104,                0.98846,                 1.4626,                 1.1108,                0.56685,                0.58027,                0.61512,                0.44915,                0.98388,                 1.3874,                 1.1022,              6.601e-05,              6.601e-05,              6.601e-05
                    105,                 1.0373,                 1.5202,                 1.1432,                 0.5406,                0.59415,                0.61561,                0.47053,                0.86447,                 1.4033,                 1.0546,              6.568e-05,              6.568e-05,              6.568e-05
                    106,                0.91977,                 1.4433,                 1.1134,                0.61461,                0.50907,                0.60621,                0.48054,                0.74546,                 1.3993,                 1.0296,              6.535e-05,              6.535e-05,              6.535e-05
                    107,                  1.002,                 1.5021,                 1.1295,                0.59067,                0.51736,                 0.6098,                0.48904,                0.73701,                 1.3906,                 1.0229,              6.502e-05,              6.502e-05,              6.502e-05
                    108,                0.93319,                 1.4439,                 1.1238,                 0.5831,                0.56686,                0.62192,                0.45987,                0.96644,                 1.3942,                 1.0926,              6.469e-05,              6.469e-05,              6.469e-05
                    109,                 1.0046,                 1.4727,                  1.141,                0.62238,                0.56955,                0.63125,                0.44051,                 1.0795,                 1.3767,                  1.144,              6.436e-05,              6.436e-05,              6.436e-05
                    110,                 1.0001,                  1.441,                 1.1353,                0.63269,                 0.5789,                0.65583,                0.50534,                0.87588,                 1.2605,                 1.0508,              6.403e-05,              6.403e-05,              6.403e-05
                    111,                0.92083,                 1.5203,                  1.094,                0.63442,                0.58704,                0.65548,                0.52474,                0.72416,                 1.2245,                 1.0102,               6.37e-05,               6.37e-05,               6.37e-05
                    112,                0.96737,                  1.425,                 1.1013,                0.65389,                0.61099,                 0.6631,                0.51944,                0.74008,                 1.2264,                 1.0227,              6.337e-05,              6.337e-05,              6.337e-05
                    113,                 0.9753,                 1.4663,                 1.1276,                0.60068,                0.61379,                0.65567,                0.53268,                0.70808,                 1.2046,                      1,              6.304e-05,              6.304e-05,              6.304e-05
                    114,                0.91084,                   1.35,                 1.0748,                0.57897,                0.58504,                0.64772,                0.52375,                0.75618,                 1.2359,                 1.0079,              6.271e-05,              6.271e-05,              6.271e-05
